"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2019","CNFL","Alumbrado Público","","7355944.41","482470060.43","482470060.43","65.59","65.59","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEALFARORUIZ","Alumbrado Público","","42300.03","2022787.36","2022787.36","47.82","47.82","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEGUANACASTE","Alumbrado Público","","631644.37","41668534.8","41668534.8","65.97","65.97","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPELESCA","Alumbrado Público","","776171.26","50910635.21","50910635.21","65.59","65.59","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Alumbrado Público","","305420","19931709.2","19931709.2","65.26","65.26","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Alumbrado Público","","823745.61","56097076.31","56097076.31","68.1","68.1","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Alumbrado Público","","10988567.52","715857942.87","715857942.87","65.15","65.15","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Alumbrado Público","","1174584.8","77559067.62","77559067.62","66.03","66.03","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Alumbrado Público","","22098378","1446517813.81","1446517813.81","65.46","65.46","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Comercios y servicios","70539","94297531.31","11189962126","11254609670","118.67","119.35","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEALFARORUIZ","Comercios y servicios","610","419974.62","37575904","37986521","89.47","90.45","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEGUANACASTE","Comercios y servicios","13238","17546163.54","1668764051","1673421605","95.11","95.37","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPELESCA","Comercios y servicios","12299","14695414.81","1423180642","1425735924","96.85","97.02","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Comercios y servicios","3804","1667636","270610916","271402303","162.27","162.75","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Comercios y servicios","11098","15710242","1587449951","1593827389","101.05","101.45","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Comercios y servicios","91458","69271572","8448938879","8501294846","121.97","122.72","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Comercios y servicios","13881","11862405","1143385025","1149907095","96.39","96.94","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Comercios y servicios","216927","225470939.28","25769867494","25908185353","114.29","114.91","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Industrial","1446","5980003","754577150","758941750","126.18","126.91","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEALFARORUIZ","Industrial","707","439916.79","48010798","48165637","109.14","109.49","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEGUANACASTE","Industrial","235","742562","82943227","83174194","111.7","112.01","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPELESCA","Industrial","1745","3969089.58","394574454","395286209","99.41","99.59","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Industrial","226","309543","51484115","51634427","166.32","166.81","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Industrial","363","9242304","809179086","812459755","87.55","87.91","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Industrial","3435","10075145","1291649822","1299651060","128.2","129","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Industrial","370","3551997","315089610","316883989","88.71","89.21","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Industrial","8527","34310560.37","3747508262","3766197021","109.22","109.77","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Media tensión a","281","37909060","3481172785","3501308120","91.83","92.36","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPELESCA","Media tensión a","9","5061600","450867244","451680348","89.08","89.24","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Media tensión a","7","1839496","158068972","158529735","85.93","86.18","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Media tensión a","7","1999712","188129950","188876125","94.08","94.45","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Media tensión a","654","67099068","5898627734","5935032258","87.91","88.45","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Media tensión a","32","7871015","580448280","582648778","73.75","74.02","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Media tensión a","990","121779951","10757314965","10818075364","88.33","88.83","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Media tensión b","13","13699920","917874035","923211285","67","67.39","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Media tensión b","2","3976000","240287924","241095332","60.43","60.64","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Media tensión b","19","28481695","1855845122","1867321793","65.16","65.56","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Media tensión b","34","46157615","3014007081","3031628410","65.3","65.68","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Preferencial","2769","9220441","648068490","651786480","70.29","70.69","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Preferencial","444","137020","19277082","19333338","140.69","141.1","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Preferencial","771","3224281","254770282","255798987","79.02","79.34","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Preferencial","6981","12423141","893917687","899474151","71.96","72.4","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Preferencial","636","977261","63655331","64017704","65.14","65.51","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Preferencial","11601","25982144","1879688872","1890410660","72.35","72.76","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Promocional","41","1032143","98978090","99543390","95.9","96.44","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Promocional","41","1032143","98978090","99543390","95.9","96.44","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Residencial","494554","111050580","9837586812","9894594670","88.59","89.1","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEALFARORUIZ","Residencial","6317","1250125.27","105636217","108744109","84.5","86.99","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPEGUANACASTE","Residencial","67687","18859921.8","1568272432","1572756845","83.15","83.39","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPELESCA","Residencial","86746","15267276.17","1245882965","1248167369","81.6","81.75","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","COOPESANTOS","Residencial","42539","5798758","542082394","543678900","93.48","93.76","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ESPH","Residencial","77002","18678659","1689959748","1696764073","90.48","90.84","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","ICE","Residencial","702864","123419848","12082463525","12157212559","97.9","98.5","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","JASEC","Residencial","85802","20833192","1585098262","1594189072","76.09","76.52","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Residencial","1563511","315158360.24","28656982355","28816107597","90.93","91.43","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","CNFL","Residencial horaria","7110","3302997","291060910","292747065","88.12","88.63","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Residencial horaria","7110","3302997","291060910","292747065","88.12","88.63","IV Trimestre","Distribucion","2019 4"
"Diciembre ","2019","Usuarios Directos","Usuarios Directos","14","17605483","677118467","684685548","38.46","38.89","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","CNFL","Ventas a ICE distribución y a la CNFL","","272623562","15074409014.34","15239042130.19","55.29","55.9","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","ICE","Ventas a ICE distribución y a la CNFL","","366656616.9","19580851357.9","19794736169","53.4","53.99","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL","","639280178.9","34655260372.24","35033778299.19","54.21","54.8","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","COOPEALFARORUIZ","Ventas al servicio de Distribución","","1277369","69551620.15","70426406.23","54.45","55.13","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","COOPEGUANACASTE","Ventas al servicio de Distribución","","2221131","290686372.92","293851410.24","130.87","132.3","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","COOPELESCA","Ventas al servicio de Distribución","","142224","93181720.75","94621913.75","655.18","665.3","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","COOPESANTOS","Ventas al servicio de Distribución","","845300","86182753","87439934.28","101.96","103.44","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","ESPH","Ventas al servicio de Distribución","","16566273","1051431559.82","1062881967.17","63.47","64.16","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","JASEC","Ventas al servicio de Distribución","","34373349","1875326294.1","1895723214.99","54.56","55.15","IV Trimestre","Generacion","2019 4"
"Diciembre ","2019","TOTAL NACIONAL","Ventas al servicio de Distribución","","55425646","3466360320.74","3504944846.66","62.54","63.24","IV Trimestre","Generacion","2019 4"
"Noviembre ","2019","CNFL","Alumbrado Público","","7126848.4","469212227.15","469212227.15","65.84","65.84","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","COOPEALFARORUIZ","Alumbrado Público","","40935.51","1967770.03","1967770.03","48.07","48.07","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","COOPEGUANACASTE","Alumbrado Público","","611244.46","41668534.8","41668534.8","68.17","68.17","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","COOPELESCA","Alumbrado Público","","749055.37","48675915.9","48675915.9","64.98","64.98","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","COOPESANTOS","Alumbrado Público","","286469","18694966.94","18694966.94","65.26","65.26","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","ESPH","Alumbrado Público","","797078.99","54281078.88","54281078.88","68.1","68.1","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","ICE","Alumbrado Público","","10627138.8","695249610.2","695249610.2","65.42","65.42","IV Trimestre","Distribucion","2019 4"
"Noviembre ","2019","JASEC","Alumbrado Público","","1137053.83","75080858.28","75080858.28","66.03","66.03","IV Trimestre","Distribucion","2019 4"
