"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2022","CNFL","Alumbrado Público","","5632359.31","321203537.13","321203537.13","57.03","57.03","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPEALFARORUIZ","Alumbrado Público","","33299.84","1290368.56","1290368.56","38.75","38.75","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPEGUANACASTE","Alumbrado Público","","767330.52","43062588.78","43062588.78","56.12","56.12","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPELESCA","Alumbrado Público","","845620.52","35429217.55","35429217.55","41.9","41.9","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPESANTOS","Alumbrado Público","","354067","20741520.35","20741520.35","58.58","58.58","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","ESPH","Alumbrado Público","","647954.93","27110434.27","27110434.27","41.84","41.84","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","ICE","Alumbrado Público","","11182491.12","613788210.94","613788210.94","54.89","54.89","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","JASEC","Alumbrado Público","","1253250.51","53493080.42","53493080.42","42.68","42.68","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","TOTAL NACIONAL","Alumbrado Público","","20716373.76","1116118958","1116118958","53.88","53.88","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","CNFL","Comercios y servicios","73128","85682815.37","10131060088","8609198675","118.24","100.48","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPEALFARORUIZ","Comercios y servicios","1125","375206","40671291","36896875","108.4","98.34","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPEGUANACASTE","Comercios y servicios","15627","18782287.8","1713211595","1607833729","91.21","85.6","IV Trimestre","Distribucion","2022 4"
"Diciembre ","2022","COOPELESCA","Comercios y servicios","13782","16090542.31","1528336137","1504285400","94.98","93.49","IV Trimestre","Distribucion","2022 4"
