"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2021","CNFL","Alumbrado Público","","5801300.92","313122374.01","313122374.01","53.97","53.97","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPEALFARORUIZ","Alumbrado Público","","35348.78","1384611.8","1384611.8","39.17","39.17","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPEGUANACASTE","Alumbrado Público","","784381.6","43431209.19","43431209.19","55.37","55.37","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPELESCA","Alumbrado Público","","821982.71","37912467.87","37912467.87","46.12","46.12","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPESANTOS","Alumbrado Público","","345016","18417222.1","18417222.1","53.38","53.38","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","ESPH","Alumbrado Público","","644216.75","29923867.81","29923867.81","46.45","46.45","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","ICE","Alumbrado Público","","11153713.2","523482562.18","523482562.18","46.93","46.93","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","JASEC","Alumbrado Público","","1220417.75","58154553.01","58154553.01","47.65","47.65","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","TOTAL NACIONAL","Alumbrado Público","","20806377.7","1025828867.95","1025828867.95","49.3","49.3","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","CNFL","Comercios y servicios","71990","81809596.78","8674333754","7921925640","106.03","96.83","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPEALFARORUIZ","Comercios y servicios","1035","405344","39233671","37050198","96.79","91.4","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPEGUANACASTE","Comercios y servicios","14392","18085009.26","1646254928","1593564179","91.03","88.12","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPELESCA","Comercios y servicios","13244","15197577.51","1434987316","1385448896","94.42","91.16","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","COOPESANTOS","Comercios y servicios","3778","1734218","260294447","253624938","150.09","146.25","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","ESPH","Comercios y servicios","11185","14702149","1259797614","1182170897","85.69","80.41","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","ICE","Comercios y servicios","97554","72595022","7558087438","6819778143","104.11","93.94","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","JASEC","Comercios y servicios","14959","13321268","1265949159","1162890083","95.03","87.3","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","TOTAL NACIONAL","Comercios y servicios","228137","217850184.55","22138938327","20356452974","101.62","93.44","IV Trimestre","Distribucion","2021 4"
"Diciembre ","2021","CNFL","Industrial","1422","5558205","619476090","565738945","111.45","101.78","IV Trimestre","Distribucion","2021 4"
