"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2018","CNFL","Alumbrado Público","","7592392.96","480645765.33","480645765.33","63.31","63.31","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPEALFARORUIZ","Alumbrado Público","","50422.22","2877595.85","2877595.85","57.07","57.07","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPEGUANACASTE","Alumbrado Público","","687277.72","42164488.12","42164488.12","61.35","61.35","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPELESCA","Alumbrado Público","","734192.65","45454342.46","45454342.46","61.91","61.91","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPESANTOS","Alumbrado Público","","273732.94","15720379.93","15720379.93","57.43","57.43","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","ESPH","Alumbrado Público","","818306.05","50145794.68","50145794.68","61.28","61.28","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","ICE","Alumbrado Público","","10816007.88","667115612.46","667115612.46","61.68","61.68","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","JASEC","Alumbrado Público","","1142774.41","72439361.58","72439361.58","63.39","63.39","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","TOTAL NACIONAL","Alumbrado Público","","22115106.83","1376563340.42","1376563340.42","62.25","62.25","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","CNFL","Comercios y servicios","70376","96883001.31","11115918113","11051163350","114.74","114.07","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPEALFARORUIZ","Comercios y servicios","581","353475","35702594","35565848","101","100.62","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPEGUANACASTE","Comercios y servicios","12297","16859565.26","1487735813","1483378087","88.24","87.98","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPELESCA","Comercios y servicios","11837","13872551.32","1273251272","1272423883","91.78","91.72","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","COOPESANTOS","Comercios y servicios","3786","1595534","252635545","252061093","158.34","157.98","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","ESPH","Comercios y servicios","10786","15434607","1293358544","1288346413","83.8","83.47","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","ICE","Comercios y servicios","89228","70262962","7898456585","7847090871","112.41","111.68","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","JASEC","Comercios y servicios","12690","11679429","1143943333","1138917679","97.95","97.51","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","TOTAL NACIONAL","Comercios y servicios","211581","226941124.89","24501001799","24368947224","107.96","107.38","IV Trimestre","Distribucion","2018 4"
"Diciembre ","2018","CNFL","Industrial","1474","6296987","761049938","756615935","120.86","120.16","IV Trimestre","Distribucion","2018 4"
