"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2020","CNFL","Alumbrado Público","","6992121.03","434361479.71","434361479.71","62.12","62.12","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPEALFARORUIZ","Alumbrado Público","","40730.5","1669136.03","1669136.03","40.98","40.98","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPEGUANACASTE","Alumbrado Público","","714811.65","40722819.7","40722819.7","56.97","56.97","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPELESCA","Alumbrado Público","","790350.77","44567377.81","44567377.81","56.39","56.39","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPESANTOS","Alumbrado Público","","333997","20574215.2","20574215.2","61.6","61.6","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","ESPH","Alumbrado Público","","711980.5","40262497.33","40262497.33","56.55","56.55","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","ICE","Alumbrado Público","","11074812","628980973.82","628980973.82","56.79","56.79","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","JASEC","Alumbrado Público","","1188792.77","73811655.74","73811655.74","62.09","62.09","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","TOTAL NACIONAL","Alumbrado Público","","21847596.23","1284950155.34","1284950155.34","58.81","58.81","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","CNFL","Comercios y servicios","70448","79211828.45","9657792594","9158604720","121.92","115.62","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPEALFARORUIZ","Comercios y servicios","980","378198","39427798","37849996","104.25","100.08","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPEGUANACASTE","Comercios y servicios","13503","14395834.92","1330826470","1312185958","92.45","91.15","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPELESCA","Comercios y servicios","12573","13219869.34","1216329615","1156877719","92.01","87.51","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","COOPESANTOS","Comercios y servicios","3795","1575317","251687173","249167103","159.77","158.17","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","ESPH","Comercios y servicios","11003","13958779","1200002400","1152293761","85.97","82.55","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","ICE","Comercios y servicios","92433","64569078","7367667887","6966834339","114.11","107.9","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","JASEC","Comercios y servicios","14333","11561693","1134084575","1075486687","98.09","93.02","IV Trimestre","Distribucion","2020 4"
"Diciembre ","2020","TOTAL NACIONAL","Comercios y servicios","219068","198870597.71","22197818512","21109300283","111.62","106.15","IV Trimestre","Distribucion","2020 4"
