id_Mes,mes,anho,empresa,tipoTarifa,descripcionTarifa,bloque,tarifaPromedio
6,Junio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,g. Bloque 251-370 kWh,5027.07
6,Junio,2024,ICE,T-RP,Tarifa residencial modalidad prepago,f. Bloque 196-250 kWh,94.07
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),b.Periodo Punta (mínimo),61.29
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),d.Periodo Valle (mínima),38.21
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),e.Periodo Noche (máxima),26.46
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),b.Periodo Punta (mínimo),111.23
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),a.Periodo Punta (máxima),119.89
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),c.Periodo Valle (máxima),41.19
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),i. Potencia Valle (Máxima),2457.95
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),j. Potencia Valle (Mínimo),2280.49
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),f.Periodo Noche (mínimo),24.55
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),g. Potencia Punta (Máxima),3520.96
6,Junio,2024,ICE,T-MTb,MEDIA TENSIÓN (T-MTb),h. Potencia Punta (Mínimo),3266.74
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),e.Periodo Noche (máxima),15.11
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),g. Potencia Punta (Máxima),10718.78
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),f.Periodo Noche (mínimo),14.02
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),d.Periodo Valle (mínima),22.77
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),c.Periodo Valle (máxima),24.54
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),k. Potencia Noche (Máxima),4793.67
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),l. Potencia Noche (Mínimo),4447.56
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),h. Potencia Punta (Mínimo),9944.89
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),j. Potencia Valle (Mínimo),6943.65
6,Junio,2024,ICE,T-MT,MEDIA TENSIÓN (T-MT),i. Potencia Valle (Máxima),7483.99
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,e. Bloque 276-360 kWh,3857.69
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,f. Bloque 276-360 kWh,82.73
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,b. Bloque 0-200 kWh,69.48
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,c. Bloque 201-275 kWh,2912.94
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,d. Bloque 201-275 kWh,74.68
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,j. Bloque mayor a 501 kWh,101.55
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,g. Bloque 361-500 kWh,5106.83
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,j.a.Por consumo de energía (kWh),8880.53
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,h. Bloque 361-500 kWh,91.66
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,j.b. Por consumo de energía (kWh),57.12
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,i. Bloque mayor a 501 kWh,8880.53
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),a. Energía Punta,120.1
6,Junio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),d. Potencia Punta,10350.21
6,Junio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),e. Potencia Valle,7421.59
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),b. Energía Valle,41.28
6,Junio,2024,JASEC,T-MT,MEDIA TENSIÓN (T-MT),f. Potencia Noche,5077.1
6,Junio,2024,ESPH,T-RE,RESIDENCIAL,a. Bloque 0-200 kWh,1495.84
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),f. Potencia Noche,1578.07
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),e. Potencia Valle,2462.57
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),c. Energía Noche,26.49
6,Junio,2024,JASEC,T-MTb,MEDIA TENSIÓN (T-MTb),d. Potencia Punta,3527.56
6,Junio,2024,ESPH,T-RP,Tarifa residencial modalidad prepago,j. Bloque mayor a 501 kWh,101.55
6,Junio,2024,ESPH,T-CO,COMERCIOS Y SERVICIOS,a. Consumo de Energía menor o igual a 3000 kWh,101.55
