Mes,Año,Empresa,Tarifa,Abonados,Ventas,Ingreso sin CVG,Ingreso con CVG,Precio Medio sin CVG,Precio Medio con CVG,Trimestre,Sistema,Trimestral
10,2018,ICE,VENTAS A ICE DISTRIBUCIÓN Y A LA CNFL,,350144627.0,18563223204.67,18372030399.12,53.02,52.47,IV Trimestre,Generacion,2018 4
10,2018,COOPEALFARORUIZ,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,1774563.0,98907896.16,97892374.22,55.74,55.16,IV Trimestre,Generacion,2018 4
10,2018,COOPEGUANACASTE,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,14302974.0,721328147.49,713914097.94,50.43,49.91,IV Trimestre,Generacion,2018 4
10,2018,COOPELESCA,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,8813799.0,479445191.17,474519573.07,54.4,53.84,IV Trimestre,Generacion,2018 4
10,2018,COOPESANTOS,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,5569501.0,324676753.48,321342549.5,58.3,57.7,IV Trimestre,Generacion,2018 4
10,2018,ESPH,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,28665956.0,1632742416.64,1615974164.0,56.96,56.37,IV Trimestre,Generacion,2018 4
10,2018,JASEC,VENTAS AL SERVICIO DE DISTRIBUCIÓN,,38509639.0,2108387928.53,2086733463.45,54.75,54.19,IV Trimestre,Generacion,2018 4
9,2018,CNFL,ALUMBRADO PÚBLICO,,7359411.24,468806759.59,468806759.59,63.7,63.7,III Trimestre,Distribucion,2018 3
9,2018,COOPEALFARORUIZ,ALUMBRADO PÚBLICO,,50251.91,2958200.04,2958200.04,58.87,58.87,III Trimestre,Distribucion,2018 3
9,2018,COOPEGUANACASTE,ALUMBRADO PÚBLICO,,602550.42,38298104.7,38298104.7,63.56,63.56,III Trimestre,Distribucion,2018 3
9,2018,COOPELESCA,ALUMBRADO PÚBLICO,,706569.74,44485808.3,44485808.3,62.96,62.96,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,ALUMBRADO PÚBLICO,,254757.03,14850049.21,14850049.21,58.29,58.29,III Trimestre,Distribucion,2018 3
9,2018,ESPH,ALUMBRADO PÚBLICO,,791142.43,49311907.85,49311907.85,62.33,62.33,III Trimestre,Distribucion,2018 3
9,2018,ICE,ALUMBRADO PÚBLICO,,10421985.6,656513363.34,656513363.34,62.99,62.99,III Trimestre,Distribucion,2018 3
9,2018,JASEC,ALUMBRADO PÚBLICO,,1079846.87,69606896.64,69606896.64,64.46,64.46,III Trimestre,Distribucion,2018 3
9,2018,CNFL,COMERCIOS Y SERVICIOS,70106.0,97376179.31,11167368072.0,11235702535.0,114.68,115.38,III Trimestre,Distribucion,2018 3
9,2018,COOPEALFARORUIZ,COMERCIOS Y SERVICIOS,597.0,315119.0,30957960.0,30833260.0,98.24,97.85,III Trimestre,Distribucion,2018 3
9,2018,COOPEGUANACASTE,COMERCIOS Y SERVICIOS,12049.0,16173764.94,1433209180.0,1437904797.0,88.61,88.9,III Trimestre,Distribucion,2018 3
9,2018,COOPELESCA,COMERCIOS Y SERVICIOS,11766.0,13561371.3,1252664980.0,1254004792.0,92.37,92.47,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,COMERCIOS Y SERVICIOS,3765.0,1598115.0,253955358.0,254562626.0,158.91,159.29,III Trimestre,Distribucion,2018 3
9,2018,ESPH,COMERCIOS Y SERVICIOS,10722.0,14504727.0,1208356968.0,1212881818.0,83.31,83.62,III Trimestre,Distribucion,2018 3
9,2018,ICE,COMERCIOS Y SERVICIOS,88813.0,68799822.0,7754590623.0,7805019001.0,112.71,113.45,III Trimestre,Distribucion,2018 3
9,2018,JASEC,COMERCIOS Y SERVICIOS,13287.0,11765392.0,1159844447.0,1164450997.0,98.58,98.97,III Trimestre,Distribucion,2018 3
9,2018,CNFL,INDUSTRIAL,1478.0,5842389.0,712276130.0,716631935.0,121.92,122.66,III Trimestre,Distribucion,2018 3
9,2018,COOPEALFARORUIZ,INDUSTRIAL,717.0,695592.0,72133310.0,71901134.0,103.7,103.37,III Trimestre,Distribucion,2018 3
9,2018,COOPEGUANACASTE,INDUSTRIAL,237.0,1000094.3,99105250.0,99427211.0,99.1,99.42,III Trimestre,Distribucion,2018 3
9,2018,COOPELESCA,INDUSTRIAL,1755.0,3779840.3,356799095.0,357181690.0,94.4,94.5,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,INDUSTRIAL,228.0,148071.0,24067188.0,24124840.0,162.54,162.93,III Trimestre,Distribucion,2018 3
9,2018,ESPH,INDUSTRIAL,367.0,8041830.0,597064497.0,599308955.0,74.24,74.52,III Trimestre,Distribucion,2018 3
9,2018,ICE,INDUSTRIAL,3568.0,10322843.0,1232034428.0,1240051876.0,119.35,120.13,III Trimestre,Distribucion,2018 3
9,2018,JASEC,INDUSTRIAL,383.0,3629059.0,332301338.0,333439940.0,91.57,91.88,III Trimestre,Distribucion,2018 3
9,2018,CNFL,MEDIA TENSIÓN A,289.0,54688659.0,4694335030.0,4723027335.0,85.84,86.36,III Trimestre,Distribucion,2018 3
9,2018,COOPELESCA,MEDIA TENSIÓN A,9.0,5060400.0,422063809.0,422521123.0,83.41,83.5,III Trimestre,Distribucion,2018 3
9,2018,COOPESANTOS,MEDIA TENSIÓN A,7.0,505039.0,47865141.0,47980197.0,94.78,95.0,III Trimestre,Distribucion,2018 3
